,SN_name,Bmax,eBmax,stretch,err_stretch,Vmax,eVmax,color,e_color,log_Mass,e_logMass,redshift
17,SN2005eq,16.294,0.007,1.141,0.024,16.237,0.007,0.057,0.01,10.974,0.151,0.0278772227466
18,SN2008at,17.592,0.097,0.842,0.043,17.391,0.07,0.201,0.12,11.272,0.167,0.035134088248
19,SN2006mo,17.503,0.07,0.727,0.021,17.329,0.018,0.174,0.072,10.983,0.165,0.0359698496759
20,SN2006bw,17.538,0.117,0.783,0.042,17.115,0.077,0.423,0.14,9.814,0.224,0.0307938195765
21,SN2006al,18.489,0.085,0.825,0.052,18.358,0.06,0.131,0.104,10.446,0.19,0.069045935
22,SN2003it,16.414,0.026,0.84,0.034,16.284,0.02,0.13,0.033,10.805,0.155,0.0241878125817
23,SN2008L,15.208,0.091,0.756,0.048,15.166,0.035,0.042,0.097,10.448,0.16,0.0173041541129
24,SN2007hu,17.295,0.204,0.878,0.049,17.169,0.131,0.126,0.242,11.421,0.182,0.035403238
25,SN2008af,16.956,0.103,0.819,0.033,16.791,0.069,0.165,0.124,11.339,0.164,0.0341075770557
26,SN2006ob,18.236,0.019,0.679,0.03,18.155,0.018,0.081,0.026,11.265,0.159,0.058239351958
27,SN1995ak,16.051,0.099,0.891,0.038,15.917,0.067,0.134,0.12,10.439,0.161,0.0219348929822
28,SN2007F,15.911,0.008,1.058,0.01,15.885,0.007,0.026,0.011,10.176,0.154,0.0241917762905
29,SN2000cf,17.034,0.082,0.938,0.035,16.961,0.056,0.073,0.099,10.196,0.166,0.0364584960043
30,SN2007kk,16.955,0.012,1.159,0.039,16.882,0.009,0.073,0.015,11.383,0.152,0.0411875732243
31,SN1998dk,15.066,0.085,1.189,0.054,14.687,0.043,0.379,0.095,10.064,0.194,0.0120226023719
32,SN1994M,16.305,0.076,0.858,0.033,16.201,0.054,0.104,0.093,10.992,0.158,0.024312755093
33,SN2009kq,14.543,0.012,1.003,0.008,14.495,0.007,0.048,0.014,10.096,0.147,0.0124703012407
34,SN2008ar,16.255,0.007,0.989,0.008,16.238,0.006,0.017,0.009,10.409,0.154,0.0273902639747
35,SN2006bq,16.282,0.066,0.786,0.032,16.09,0.047,0.192,0.081,10.894,0.164,0.0214557219297
36,SN2001da,15.407,0.072,1.189,0.073,15.288,0.053,0.119,0.089,10.682,0.163,0.0164730455726
37,SN2006ak,17.01,0.121,0.885,0.032,16.934,0.078,0.076,0.144,10.837,0.16,0.0388988517225
38,SN2005hf,17.057,0.209,0.787,0.043,17.12,0.124,-0.063,0.243,10.676,0.184,0.0420519895852
39,SN2010A,15.846,0.023,1.094,0.028,15.698,0.013,0.148,0.026,10.36,0.155,0.0198460221291
40,SN2005na,16.077,0.075,0.965,0.027,16.004,0.051,0.073,0.091,11.088,0.152,0.0268325824291
41,SN2004ef,16.938,0.026,0.788,0.036,16.736,0.022,0.202,0.034,10.905,0.167,0.0297877304256
42,SN1999ej,15.42,0.046,0.77,0.019,15.378,0.034,0.042,0.057,10.77,0.152,0.015444220975
43,SN2008gb,17.082,0.055,0.976,0.041,17.003,0.043,0.079,0.07,10.571,0.156,0.0364040955901
44,SN2006hb,15.562,0.064,0.733,0.019,15.371,0.042,0.191,0.077,10.543,0.165,0.0149638876319
45,SN2009le,15.417,0.012,1.189,0.037,15.345,0.023,0.072,0.026,11.13,0.151,0.017025610432
46,SN2002de,16.678,0.014,0.976,0.034,16.502,0.011,0.176,0.018,10.997,0.155,0.0282677393407
47,SN1996bv,15.39,0.078,1.108,0.125,15.171,0.051,0.219,0.093,10.081,0.183,0.0167309138924
48,SN2002dp,14.618,0.017,0.919,0.017,14.453,0.009,0.165,0.019,10.753,0.154,0.0104468800128
49,SN2007bc,15.988,0.009,0.882,0.01,15.824,0.007,0.164,0.011,10.902,0.154,0.021865779534
50,SN2001ah,17.426,0.08,0.92,0.058,17.334,0.077,0.092,0.111,10.936,0.161,0.0589134208858
51,SN2006eq,18.504,0.062,0.619,0.034,18.221,0.047,0.283,0.078,10.342,0.197,0.0483443513513
52,SN2006ef,15.524,0.084,0.814,0.026,15.475,0.055,0.049,0.1,10.548,0.155,0.0168199967593
53,SN2007cq,15.903,0.008,0.93,0.012,15.794,0.006,0.109,0.01,9.739,0.167,0.0251003727317
54,SN2002he,16.173,0.039,0.73,0.024,16.183,0.021,-0.01,0.044,11.025,0.153,0.0248394012451
55,SN2002ha,14.737,0.016,0.815,0.015,14.76,0.012,-0.023,0.02,11.074,0.149,0.0122384335846
56,SN2007ux,17.458,0.028,0.6,0.026,17.145,0.017,0.313,0.033,10.31,0.188,0.0304270070046
57,SN2007cb,16.349,0.186,1.099,0.052,16.462,0.104,-0.113,0.213,10.553,0.185,0.0375284217298
58,SN2001az,16.948,0.077,1.075,0.103,16.966,0.054,-0.018,0.094,10.832,0.166,0.0405932441354
59,SN2006et,16.015,0.02,1.15,0.034,15.773,0.013,0.242,0.024,11.096,0.164,0.021604731679
60,SN2007cc,16.65,0.047,0.644,0.184,16.273,0.057,0.377,0.074,10.674,0.224,0.0300236251205
61,SN2009ad,16.194,0.01,1.014,0.012,16.155,0.011,0.039,0.015,10.673,0.147,0.0283352248371
62,SN2005be,16.99,0.066,0.757,0.02,16.938,0.045,0.052,0.08,10.65,0.157,0.0341570302844
63,SN2007nq,17.422,0.006,0.744,0.006,17.356,0.004,0.066,0.007,11.357,0.154,0.0424275435507
64,SN2007ob,17.335,0.111,0.944,0.039,16.989,0.08,0.346,0.137,10.479,0.193,0.0326566584408
